file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/style.css,1,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,25
src/style.css,2,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,5
src/style.css,3,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,24
src/style.css,4,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,16
src/style.css,5,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,19
src/style.css,6,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,12
src/style.css,7,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,19
src/style.css,8,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,20
src/style.css,9,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,78
src/style.css,10,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,11,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,12,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,44
src/style.css,13,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,6
src/style.css,14,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,57
src/style.css,15,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,85
src/style.css,16,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,17,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,18,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,26
src/style.css,19,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,23
src/style.css,20,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,51
src/style.css,21,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,60
src/style.css,22,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,23,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,24,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,27
src/style.css,25,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,3
src/style.css,26,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,45
src/style.css,27,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,20
src/style.css,28,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,29,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,30,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,3
src/style.css,31,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,57
src/style.css,32,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,20
src/style.css,33,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,34,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,35,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,3
src/style.css,36,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,16
src/style.css,37,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,20
src/style.css,38,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
